time,close,regime_score,regime_label,risk_score,risk_label,raw_base,ceiling,modifier,dd,score_A_roll,score_B_roll,score_C,rank_A_roll,rank_A_exp,r12,risk_C,risk_D,status
2019-09-16,10020.58,-0.3549839160363118,BEARISH,0.19077902459599247,NORMAL,-0.3549839160363118,-0.2392868319483843,-5.648873246123869e-25,-0.3929946344555828,-0.2907099398663022,-0.08463286506322942,-0.7950983343100279,0.39405003340760986,0.39405003340760986,0.4951135593877849,0.11336323297638351,0.04444744735088508,OK
2019-09-23,8047.6,-0.4646780474249039,BEARISH,0.172282981234921,NORMAL,-0.4646780474249039,-0.3,-4.519098596899095e-25,-0.5117772831569464,-0.46297880183315,-0.06974327899430333,-0.9416584116067815,0.29834511009269443,0.29834511009269443,0.21973806460022338,0.2160729926187608,0.04444744735088508,OK
2019-09-30,7854.12,-0.4726790657656691,BEARISH,0.17143442579078083,NORMAL,-0.4726790657656691,-0.3,-3.615278877519276e-25,-0.5227993084597615,-0.48113162040270974,-0.06347091528801663,-0.9485142479921789,0.28826021088738346,0.28826021088738346,0.19406533964361028,0.2199223034120768,0.05355030708676235,OK
2019-10-07,8282.96,-0.45084253923493994,BEARISH,0.18271295915539898,NORMAL,-0.45084253923493994,-0.3,-2.892223102015421e-25,-0.49598782573383726,-0.448275243693658,-0.05511604238992707,-0.9303354674232628,0.30651375350352333,0.30651375350352333,0.3396344816432151,0.2111775388571815,0.04699406738211047,OK
2019-10-14,8235.74,-0.4521514394856855,BEARISH,0.1758391286804369,NORMAL,-0.4521514394856855,-0.3,-2.313778481612337e-25,-0.4981082912977879,-0.4550226282960955,-0.0479986215694751,-0.9319666811263998,0.30276520650216915,0.30276520650216915,0.2841496995344108,0.2075885057271684,0.04873008487194423,OK
2019-10-21,9557.08,-0.3759738906155262,BEARISH,0.4960577606666099,EXTENDED,-0.3759738906155262,-0.3,-1.8510227852898697e-25,-0.4167099800592323,-0.3479814941562691,-0.033269353368621135,-0.8376056489384752,0.3622325032465171,0.3622325032465171,0.4919952478858245,0.9995025319815192,0.06251995418071166,OK
2019-10-28,9207.0,-0.39669132715699634,BEARISH,0.4808064030327283,EXTENDED,-0.39669132715699634,-0.3,-1.480818228231896e-25,-0.4372319953524053,-0.3829958077415835,-0.02415370985211529,-0.8683884028705967,0.3427801068102314,0.3427801068102314,0.43371910504285416,0.9999088809276995,0.0551196739261625,OK
2019-11-04,9024.49,-0.4091506268194388,BEARISH,0.475342466907472,EXTENDED,-0.4091506268194388,-0.3,-1.1846545825855168e-25,-0.4475590620358504,-0.4029378649973864,-0.024497916505491046,-0.8819168504758707,0.3317011861125631,0.3317011861125631,0.4194940181265081,0.9944909728188577,0.060959331278808336,OK
2019-11-11,8499.31,-0.4423559183448071,BEARISH,0.46080513755598573,EXTENDED,-0.4423559183448071,-0.3,-9.477236660684135e-26,-0.4789267405607751,-0.4503909164987341,-0.03573341994577628,-0.9158399197465754,0.3053383797229255,0.3053383797229255,0.5288563585800987,0.9215562132882009,0.060959331278808336,OK
2019-11-18,6908.36,-0.5205096538095669,BEARISH,0.24864812311801804,NORMAL,-0.5205096538095669,-0.3,-7.581789328547308e-26,-0.575827988777369,-0.577553773356676,-0.05863844819520159,-0.9720756853620091,0.23469234813518003,0.23469234813518003,0.753884977747538,0.21946273122884927,0.060959331278808336,OK
2019-11-25,7412.66,-0.5061998466762353,BEARISH,0.2588284676719661,NORMAL,-0.5061998466762353,-0.3,-6.065431462837846e-26,-0.5441803336486661,-0.5393113672081986,-0.07861916422094273,-0.9596959286650524,0.2559381293287786,0.2559381293287786,0.8070623224972879,0.2023923256991933,0.049185154142209864,OK
2019-12-02,7524.26,-0.505309202600807,BEARISH,0.32261224789251175,NORMAL,-0.505309202600807,-0.3,-4.852345170270277e-26,-0.5366227548956475,-0.5315105799297037,-0.09039976964865748,-0.9560380429513725,0.2602719000390535,0.2602719000390535,1.1316693816842553,0.19438887129719026,0.07670752195198097,OK
2019-12-09,7115.08,-0.5294006698661085,BEARISH,0.3286515887483683,NORMAL,-0.5294006698661085,-0.3,-3.881876136216222e-26,-0.5611636163996753,-0.5635506028278958,-0.11360895924899106,-0.9668808432754319,0.24247188731783564,0.24247188731783564,1.2277927722009654,0.19855925742462155,0.07670752195198097,OK
